Data da Venda;Região;Vendedor;Seção;Vendas;Comissões
09/04/2010;Centro;João Carlos;Roupas e Acessórios;R$ 1.164,44;R$ 23,29
12/04/2010;Leste;Roberto;Esporte e Lazer;R$ 3.386,65;R$ 67,73
12/04/2010;Oeste;Adriana;Eletrodomésticos;R$ 747,55;R$ 14,95
14/04/2010;Centro;Carolina;Eletrodomésticos;R$ 775,84;R$ 15,52
14/04/2010;Oeste;João Carlos;Cama, Mesa e Banho;R$ 2.964,55;R$ 59,29
15/04/2010;Oeste;Ana Maria;Cine e Foto;R$ 3.105,27;R$ 62,11
15/04/2010;Nordeste;Carolina;Esporte e Lazer;R$ 2.481,71;R$ 49,63
15/04/2010;Nordeste;João Carlos;Cama, Mesa e Banho;R$ 2.067,09;R$ 41,34
15/04/2010;Sul;João Carlos;Móveis e Decoração;R$ 2.836,00;R$ 56,72
16/04/2010;Nordeste;Ana Maria;Casa e Construção;R$ 4.658,48;R$ 93,17
17/04/2010;Sudeste;Ana Maria;Roupas e Acessórios;R$ 3.698,73;R$ 73,97
17/04/2010;Norte;João Carlos;Eletrônicos;R$ 4.914,11;R$ 98,28
17/04/2010;Norte;João Carlos;Casa e Construção;R$ 478,72;R$ 9,57
19/04/2010;Sudeste;Roberto;Eletrodomésticos;R$ 4.897,83;R$ 97,96
19/04/2010;Oeste;João Carlos;Roupas e Acessórios;R$ 1.628,36;R$ 32,57
19/04/2010;Centro;Ricardo;Cine e Foto;R$ 3.692,04;R$ 73,84
21/04/2010;Nordeste;Simone;Cama, Mesa e Banho;R$ 3.908,31;R$ 78,17
21/04/2010;Nordeste;Simone;Eletrodomésticos;R$ 2.126,60;R$ 42,53
22/04/2010;Norte;João Carlos;Utilidades Domésticas;R$ 2.695,54;R$ 53,91
22/04/2010;Oeste;Ricardo;Cine e Foto;R$ 995,75;R$ 19,92
23/04/2010;Centro;João Carlos;Cama, Mesa e Banho;R$ 1.565,86;R$ 31,32
23/04/2010;Nordeste;Ricardo;Cine e Foto;R$ 3.334,01;R$ 66,68
25/04/2010;Centro;Carolina;Cama, Mesa e Banho;R$ 2.832,74;R$ 56,65
25/04/2010;Nordeste;José Luiz;Casa e Construção;R$ 3.114,01;R$ 62,28
25/04/2010;Oeste;Ricardo;Casa e Construção;R$ 3.106,62;R$ 62,13
25/04/2010;Sudeste;Ana Maria;Cine e Foto;R$ 946,75;R$ 18,94
27/04/2010;Centro;João Carlos;Casa e Construção;R$ 388,45;R$ 7,77
29/04/2010;Nordeste;Ricardo;Eletrodomésticos;R$ 3.611,89;R$ 72,24
29/04/2010;Centro;José Luiz;Eletrodomésticos;R$ 4.243,71;R$ 84,87
29/04/2010;Sul;João Carlos;Eletrônicos;R$ 3.601,13;R$ 72,02
30/04/2010;Nordeste;Roberto;Cine e Foto;R$ 3.602,60;R$ 72,05
01/05/2010;Leste;João Carlos;Cine e Foto;R$ 1.966,86;R$ 39,34
01/05/2010;Centro;João Carlos;Utilidades Domésticas;R$ 2.562,53;R$ 51,25
02/05/2010;Sul;Carolina;Cine e Foto;R$ 2.803,60;R$ 56,07
03/05/2010;Centro;João Carlos;Utilidades Domésticas;R$ 3.105,32;R$ 62,11
03/05/2010;Sudeste;João Carlos;Cine e Foto;R$ 3.552,79;R$ 71,06
03/05/2010;Sudeste;Adriana;Roupas e Acessórios;R$ 1.346,21;R$ 26,92
04/05/2010;Centro;Simone;Móveis e Decoração;R$ 361,24;R$ 7,22
05/05/2010;Sudeste;Carolina;Cine e Foto;R$ 914,63;R$ 18,29
05/05/2010;Sudeste;Simone;Utilidades Domésticas;R$ 2.545,46;R$ 50,91
06/05/2010;Norte;João Carlos;Casa e Construção;R$ 3.594,21;R$ 71,88
07/05/2010;Sudeste;Roberto;Eletrônicos;R$ 459,07;R$ 9,18
07/05/2010;Centro;João Carlos;Móveis e Decoração;R$ 1.279,54;R$ 25,59
08/05/2010;Norte;Ana Maria;Eletrônicos;R$ 2.084,03;R$ 41,68
08/05/2010;Sudeste;Ana Maria;Eletrônicos;R$ 2.419,87;R$ 48,40
09/05/2010;Oeste;Ana Maria;Roupas e Acessórios;R$ 3.607,89;R$ 72,16
10/05/2010;Sudeste;Roberto;Roupas e Acessórios;R$ 687,01;R$ 13,74
13/05/2010;Centro;Carolina;Móveis e Decoração;R$ 1.916,95;R$ 38,34
14/05/2010;Sul;Carolina;Cama, Mesa e Banho;R$ 1.946,89;R$ 38,94
16/05/2010;Centro;João Carlos;Cama, Mesa e Banho;R$ 1.348,14;R$ 26,96
17/05/2010;Oeste;Carolina;Eletrônicos;R$ 231,20;R$ 4,62
18/05/2010;Centro;João Carlos;Móveis e Decoração;R$ 1.309,57;R$ 26,19
19/05/2010;Nordeste;Ana Maria;Eletrônicos;R$ 4.584,56;R$ 91,69
19/05/2010;Sul;Ana Maria;Cama, Mesa e Banho;R$ 1.381,97;R$ 27,64
20/05/2010;Sudeste;João Carlos;Esporte e Lazer;R$ 2.041,60;R$ 40,83
21/05/2010;Oeste;Adriana;Utilidades Domésticas;R$ 3.632,89;R$ 72,66
21/05/2010;Centro;Ricardo;Casa e Construção;R$ 2.833,28;R$ 56,67
22/05/2010;Oeste;Carolina;Casa e Construção;R$ 3.743,85;R$ 74,88
22/05/2010;Nordeste;Carolina;Casa e Construção;R$ 2.451,99;R$ 49,04
22/05/2010;Oeste;Carolina;Móveis e Decoração;R$ 3.376,08;R$ 67,52
23/05/2010;Nordeste;Ricardo;Casa e Construção;R$ 3.644,10;R$ 72,88
23/05/2010;Sudeste;Carolina;Casa e Construção;R$ 2.550,12;R$ 51,00
24/05/2010;Nordeste;José Luiz;Esporte e Lazer;R$ 453,40;R$ 9,07
24/05/2010;Nordeste;João Carlos;Cama, Mesa e Banho;R$ 436,08;R$ 8,72
24/05/2010;Leste;Carolina;Esporte e Lazer;R$ 4.252,59;R$ 85,05
25/05/2010;Nordeste;Ana Maria;Móveis e Decoração;R$ 840,12;R$ 16,80
26/05/2010;Sudeste;João Carlos;Esporte e Lazer;R$ 3.628,50;R$ 72,57
27/05/2010;Norte;Ricardo;Eletrodomésticos;R$ 546,72;R$ 10,93
27/05/2010;Sudeste;José Luiz;Roupas e Acessórios;R$ 369,86;R$ 7,40
27/05/2010;Sudeste;Roberto;Eletrodomésticos;R$ 2.381,40;R$ 47,63
28/05/2010;Oeste;Carolina;Móveis e Decoração;R$ 1.444,25;R$ 28,89
28/05/2010;Sudeste;Carolina;Casa e Construção;R$ 961,35;R$ 19,23
29/05/2010;Centro;Carolina;Eletrônicos;R$ 1.732,83;R$ 34,66
29/05/2010;Leste;Carolina;Cine e Foto;R$ 2.603,32;R$ 52,07
30/05/2010;Nordeste;Ricardo;Roupas e Acessórios;R$ 765,32;R$ 15,31
30/05/2010;Oeste;Adriana;Eletrodomésticos;R$ 4.379,84;R$ 87,60
31/05/2010;Centro;Ana Maria;Esporte e Lazer;R$ 2.465,52;R$ 49,31
31/05/2010;Nordeste;Ana Maria;Esporte e Lazer;R$ 4.692,60;R$ 93,85
31/05/2010;Centro;Adriana;Cama, Mesa e Banho;R$ 3.567,34;R$ 71,35
01/06/2010;Centro;Ricardo;Móveis e Decoração;R$ 4.266,69;R$ 85,33
01/06/2010;Centro;João Carlos;Eletrodomésticos;R$ 1.661,41;R$ 33,23
02/06/2010;Norte;Adriana;Móveis e Decoração;R$ 2.876,35;R$ 57,53
02/06/2010;Sul;Simone;Eletrodomésticos;R$ 877,73;R$ 17,55
02/06/2010;Leste;Simone;Cama, Mesa e Banho;R$ 2.642,77;R$ 52,86
03/06/2010;Sudeste;Carolina;Móveis e Decoração;R$ 4.880,93;R$ 97,62
03/06/2010;Sudeste;Carolina;Cama, Mesa e Banho;R$ 2.958,40;R$ 59,17
04/06/2010;Nordeste;Carolina;Cine e Foto;R$ 2.951,67;R$ 59,03
04/06/2010;Nordeste;Simone;Eletrodomésticos;R$ 1.784,98;R$ 35,70
04/06/2010;Sudeste;Ana Maria;Eletrônicos;R$ 273,12;R$ 5,46
05/06/2010;Sudeste;Carolina;Móveis e Decoração;R$ 3.015,83;R$ 60,32
06/06/2010;Leste;João Carlos;Utilidades Domésticas;R$ 4.973,69;R$ 99,47
06/06/2010;Sul;Simone;Utilidades Domésticas;R$ 1.141,15;R$ 22,82
06/06/2010;Norte;Carolina;Cama, Mesa e Banho;R$ 1.356,33;R$ 27,13
08/06/2010;Centro;Carolina;Esporte e Lazer;R$ 3.453,90;R$ 69,08
10/06/2010;Nordeste;Ana Maria;Esporte e Lazer;R$ 2.322,27;R$ 46,45
10/06/2010;Sul;Simone;Utilidades Domésticas;R$ 4.362,34;R$ 87,25
11/06/2010;Centro;Roberto;Cine e Foto;R$ 3.548,35;R$ 70,97
12/06/2010;Nordeste;Roberto;Cine e Foto;R$ 4.748,69;R$ 94,97
12/06/2010;Norte;José Luiz;Esporte e Lazer;R$ 1.596,73;R$ 31,93
12/06/2010;Oeste;Roberto;Móveis e Decoração;R$ 4.914,42;R$ 98,29
13/06/2010;Sudeste;Adriana;Eletrônicos;R$ 396,29;R$ 7,93
14/06/2010;Oeste;Ricardo;Cine e Foto;R$ 3.515,74;R$ 70,31
14/06/2010;Sudeste;Ana Maria;Eletrônicos;R$ 1.304,81;R$ 26,10
14/06/2010;Oeste;Ana Maria;Esporte e Lazer;R$ 1.789,89;R$ 35,80
15/06/2010;Leste;Carolina;Roupas e Acessórios;R$ 1.851,96;R$ 37,04
16/06/2010;Oeste;João Carlos;Utilidades Domésticas;R$ 3.046,13;R$ 60,92
16/06/2010;Nordeste;Carolina;Cine e Foto;R$ 2.435,26;R$ 48,71
18/06/2010;Leste;Simone;Cama, Mesa e Banho;R$ 4.989,70;R$ 99,79
18/06/2010;Sudeste;João Carlos;Cama, Mesa e Banho;R$ 2.154,92;R$ 43,10
20/06/2010;Sul;Carolina;Eletrônicos;R$ 1.446,56;R$ 28,93
20/06/2010;Centro;João Carlos;Cine e Foto;R$ 4.670,02;R$ 93,40
21/06/2010;Centro;Roberto;Móveis e Decoração;R$ 362,43;R$ 7,25
21/06/2010;Sul;João Carlos;Casa e Construção;R$ 3.174,17;R$ 63,48
22/06/2010;Centro;Simone;Esporte e Lazer;R$ 518,52;R$ 10,37
22/06/2010;Sudeste;Carolina;Eletrônicos;R$ 3.037,60;R$ 60,75
24/06/2010;Sudeste;Carolina;Utilidades Domésticas;R$ 2.462,32;R$ 49,25
25/06/2010;Centro;Ana Maria;Esporte e Lazer;R$ 1.348,70;R$ 26,97
26/06/2010;Sudeste;Ricardo;Roupas e Acessórios;R$ 1.768,02;R$ 35,36
26/06/2010;Centro;Ana Maria;Esporte e Lazer;R$ 1.370,13;R$ 27,40
27/06/2010;Norte;João Carlos;Eletrônicos;R$ 1.573,65;R$ 31,47
27/06/2010;Nordeste;João Carlos;Utilidades Domésticas;R$ 746,86;R$ 14,94
28/06/2010;Oeste;João Carlos;Esporte e Lazer;R$ 1.314,69;R$ 26,29
29/06/2010;Sudeste;Carolina;Esporte e Lazer;R$ 327,23;R$ 6,54
29/06/2010;Sudeste;Ana Maria;Móveis e Decoração;R$ 1.226,14;R$ 24,52
29/06/2010;Oeste;Simone;Móveis e Decoração;R$ 3.215,16;R$ 64,30
30/06/2010;Norte;Simone;Cine e Foto;R$ 2.003,52;R$ 40,07
30/06/2010;Centro;Ricardo;Móveis e Decoração;R$ 2.423,08;R$ 48,46
01/07/2010;Sudeste;Ricardo;Esporte e Lazer;R$ 3.119,44;R$ 62,39
01/07/2010;Sudeste;Adriana;Móveis e Decoração;R$ 2.697,62;R$ 53,95
01/07/2010;Oeste;Ana Maria;Casa e Construção;R$ 1.484,34;R$ 29,69
01/07/2010;Leste;Ricardo;Eletrodomésticos;R$ 4.581,62;R$ 91,63
01/07/2010;Leste;Simone;Cama, Mesa e Banho;R$ 3.900,69;R$ 78,01
01/07/2010;Centro;Simone;Roupas e Acessórios;R$ 490,50;R$ 9,81
02/07/2010;Sudeste;Simone;Móveis e Decoração;R$ 4.050,99;R$ 81,02
03/07/2010;Oeste;Ana Maria;Esporte e Lazer;R$ 3.710,94;R$ 74,22
03/07/2010;Nordeste;José Luiz;Cama, Mesa e Banho;R$ 3.599,70;R$ 71,99
03/07/2010;Sudeste;Carolina;Cama, Mesa e Banho;R$ 4.447,09;R$ 88,94
05/07/2010;Norte;Carolina;Esporte e Lazer;R$ 2.582,46;R$ 51,65
05/07/2010;Sudeste;João Carlos;Cama, Mesa e Banho;R$ 2.610,34;R$ 52,21
06/07/2010;Sudeste;José Luiz;Esporte e Lazer;R$ 2.212,68;R$ 44,25
06/07/2010;Centro;João Carlos;Móveis e Decoração;R$ 3.724,17;R$ 74,48
07/07/2010;Sudeste;Adriana;Cama, Mesa e Banho;R$ 1.658,41;R$ 33,17
07/07/2010;Leste;Ana Maria;Cine e Foto;R$ 3.993,86;R$ 79,88
10/07/2010;Sudeste;Ana Maria;Móveis e Decoração;R$ 4.911,17;R$ 98,22
10/07/2010;Norte;Carolina;Cama, Mesa e Banho;R$ 4.142,19;R$ 82,84
12/07/2010;Sul;Carolina;Móveis e Decoração;R$ 4.488,49;R$ 89,77
12/07/2010;Sudeste;João Carlos;Eletrônicos;R$ 1.875,06;R$ 37,50
12/07/2010;Sul;Simone;Eletrodomésticos;R$ 1.439,13;R$ 28,78
13/07/2010;Sul;Ana Maria;Móveis e Decoração;R$ 2.129,69;R$ 42,59
13/07/2010;Centro;José Luiz;Eletrodomésticos;R$ 1.883,87;R$ 37,68
14/07/2010;Sul;João Carlos;Móveis e Decoração;R$ 1.540,81;R$ 30,82
15/07/2010;Sudeste;José Luiz;Roupas e Acessórios;R$ 1.788,01;R$ 35,76
17/07/2010;Sudeste;João Carlos;Roupas e Acessórios;R$ 3.721,49;R$ 74,43
19/07/2010;Centro;Ana Maria;Eletrônicos;R$ 3.856,35;R$ 77,13
19/07/2010;Leste;João Carlos;Esporte e Lazer;R$ 3.367,91;R$ 67,36
20/07/2010;Centro;João Carlos;Cine e Foto;R$ 4.124,52;R$ 82,49
21/07/2010;Sul;Carolina;Eletrônicos;R$ 1.646,93;R$ 32,94
21/07/2010;Nordeste;Ana Maria;Eletrodomésticos;R$ 4.203,23;R$ 84,06
